id,begin,end,utterance_id,word_id,pronunciation_id,workflow_id
1,0.0,0.07,1,1,,1
2,0.07,0.41,1,42998,,1
3,0.41,0.6,1,1,,1
4,0.6,0.85,1,34320,,1
5,0.85,1.01,1,78734,,1
6,1.01,1.29,1,75937,,1
7,1.29,1.41,1,24808,,1
8,1.41,1.66,1,81070,,1
9,1.66,1.9,1,58363,,1
10,1.9,2.16,1,79884,,1
11,2.16,2.33,1,64465,,1
12,2.33,2.65,1,76476,,1
13,2.65,3.25,1,39449,,1
14,3.25,3.6,1,13542,,1
15,3.6,3.79,1,1,,1
16,3.79,3.96,1,81464,,1
17,3.96,4.1,1,31068,,1
18,4.1,4.6,1,63251,,1
19,4.6,5.08,1,28606,,1
20,5.08,5.34,1,49866,,1
21,5.34,5.72,1,82363,,1
22,5.72,5.91,1,24808,,1
23,5.91,6.3,1,81070,,1
24,6.3,6.36,1,1,,1
